run,algorithm,classifier,uid,Acc.,Bal. Acc.,Kappa,duplicated
1,picard_o,gaussian_nb,49,0.5,0.5,0.0,0
1,picard_o,lda,49,0.51,0.51,0.020000000000000018,0
1,picard_o,logistic,49,0.5,0.5,0.0,0
2,picard_o,random_forest,49,0.52,0.52,0.040000000000000036,0
2,picard_o,gaussian_nb,49,0.5,0.5,0.0,0
2,picard_o,lda,49,0.51,0.51,0.020000000000000018,0
2,picard_o,logistic,49,0.5,0.5,0.0,0
1,None,gaussian_nb,49,0.63,0.63,0.26,1
2,None,gaussian_nb,49,0.63,0.63,0.26,1
1,None,lda,49,0.64,0.64,0.28,1
2,None,lda,49,0.64,0.64,0.28,1
1,ORICA (0),gaussian_nb,49,0.5,0.5,0.0,1
2,ORICA (0),gaussian_nb,49,0.5,0.5,0.0,1
1,ORICA (0),lda,49,0.53,0.53,0.06000000000000005,1
2,ORICA (0),lda,49,0.53,0.53,0.06000000000000005,1
1,ORICA (1),gaussian_nb,49,0.47,0.47,-0.06000000000000005,1
2,ORICA (1),gaussian_nb,49,0.47,0.47,-0.06000000000000005,1
1,ORICA (1),lda,49,0.49,0.49,-0.020000000000000018,1
2,ORICA (1),lda,49,0.49,0.49,-0.020000000000000018,1
1,SOBI,gaussian_nb,49,0.52,0.52,0.040000000000000036,1
2,SOBI,gaussian_nb,49,0.52,0.52,0.040000000000000036,1
1,SOBI,lda,49,0.46,0.46,-0.08000000000000007,1
2,SOBI,lda,49,0.46,0.46,-0.08000000000000007,1
0,None,random_forest,48,0.53,0.53,0.06000000000000005,0
0,None,gaussian_nb,48,0.51,0.51,0.020000000000000018,0
0,None,lda,48,0.62,0.62,0.24,0
0,None,logistic,48,0.62,0.62,0.24,0
1,None,random_forest,48,0.53,0.53,0.06000000000000005,0
1,None,logistic,48,0.62,0.62,0.24,0
2,None,random_forest,48,0.56,0.56,0.12,0
2,None,logistic,48,0.62,0.62,0.24,0
0,ORICA (0),random_forest,48,0.45,0.44999999999999996,-0.10000000000000009,0
0,ORICA (0),gaussian_nb,48,0.54,0.54,0.07999999999999996,0
0,ORICA (0),lda,48,0.54,0.54,0.07999999999999996,0
0,ORICA (0),logistic,48,0.54,0.54,0.07999999999999996,0
1,ORICA (0),random_forest,48,0.45,0.44999999999999996,-0.10000000000000009,0
1,ORICA (0),logistic,48,0.54,0.54,0.07999999999999996,0
2,ORICA (0),random_forest,48,0.48,0.48000000000000004,-0.040000000000000036,0
2,ORICA (0),logistic,48,0.54,0.54,0.07999999999999996,0
0,ORICA (1),random_forest,48,0.51,0.51,0.020000000000000018,0
0,ORICA (1),gaussian_nb,48,0.46,0.45999999999999996,-0.08000000000000007,0
0,ORICA (1),lda,48,0.54,0.54,0.07999999999999996,0
0,ORICA (1),logistic,48,0.54,0.54,0.07999999999999996,0
1,ORICA (1),random_forest,48,0.51,0.51,0.020000000000000018,0
1,ORICA (1),logistic,48,0.54,0.54,0.07999999999999996,0
2,ORICA (1),random_forest,48,0.53,0.53,0.06000000000000005,0
2,ORICA (1),logistic,48,0.54,0.54,0.07999999999999996,0
0,Ext. Infomax,random_forest,48,0.56,0.56,0.12,0
0,Ext. Infomax,gaussian_nb,48,0.54,0.54,0.07999999999999996,0
0,Ext. Infomax,lda,48,0.57,0.5700000000000001,0.14,0
0,Ext. Infomax,logistic,48,0.6,0.6,0.19999999999999996,0
1,Ext. Infomax,random_forest,48,0.56,0.56,0.12,0
1,Ext. Infomax,gaussian_nb,48,0.48,0.48,-0.040000000000000036,0
1,Ext. Infomax,lda,48,0.6,0.6,0.19999999999999996,0
1,Ext. Infomax,logistic,48,0.59,0.5900000000000001,0.18000000000000005,0
2,Ext. Infomax,random_forest,48,0.52,0.52,0.040000000000000036,0
2,Ext. Infomax,gaussian_nb,48,0.59,0.59,0.18000000000000005,0
2,Ext. Infomax,lda,48,0.55,0.55,0.09999999999999998,0
2,Ext. Infomax,logistic,48,0.57,0.5700000000000001,0.14,0
0,SOBI,random_forest,48,0.5,0.5,0.0,0
0,SOBI,gaussian_nb,48,0.51,0.51,0.020000000000000018,0
0,SOBI,lda,48,0.62,0.62,0.24,0
0,SOBI,logistic,48,0.6,0.6,0.19999999999999996,0
1,SOBI,random_forest,48,0.54,0.54,0.07999999999999996,0
1,SOBI,logistic,48,0.6,0.6,0.19999999999999996,0
2,SOBI,random_forest,48,0.54,0.54,0.07999999999999996,0
2,SOBI,logistic,48,0.6,0.6,0.19999999999999996,0
0,FastICA,random_forest,48,0.55,0.55,0.09999999999999998,0
0,FastICA,gaussian_nb,48,0.61,0.61,0.21999999999999997,0
0,FastICA,lda,48,0.56,0.56,0.12,0
0,FastICA,logistic,48,0.56,0.56,0.12,0
1,FastICA,random_forest,48,0.64,0.64,0.28,0
1,FastICA,gaussian_nb,48,0.68,0.6799999999999999,0.36,0
1,FastICA,lda,48,0.62,0.62,0.24,0
1,FastICA,logistic,48,0.62,0.62,0.24,0
2,FastICA,random_forest,48,0.56,0.56,0.12,0
2,FastICA,gaussian_nb,48,0.61,0.61,0.21999999999999997,0
2,FastICA,lda,48,0.61,0.61,0.21999999999999997,0
2,FastICA,logistic,48,0.59,0.59,0.18000000000000005,0
0,picard_o,random_forest,48,0.62,0.62,0.24,0
0,picard_o,gaussian_nb,48,0.64,0.6399999999999999,0.28,0
0,picard_o,lda,48,0.63,0.63,0.26,0
0,picard_o,logistic,48,0.63,0.63,0.26,0
1,picard_o,random_forest,48,0.66,0.66,0.31999999999999995,0
1,picard_o,gaussian_nb,48,0.64,0.6399999999999999,0.28,0
1,picard_o,lda,48,0.63,0.63,0.26,0
1,picard_o,logistic,48,0.63,0.63,0.26,0
2,picard_o,random_forest,48,0.56,0.56,0.12,0
2,picard_o,gaussian_nb,48,0.64,0.6399999999999999,0.28,0
2,picard_o,lda,48,0.63,0.63,0.26,0
2,picard_o,logistic,48,0.63,0.63,0.26,0
1,None,gaussian_nb,48,0.51,0.51,0.020000000000000018,1
2,None,gaussian_nb,48,0.51,0.51,0.020000000000000018,1
1,None,lda,48,0.62,0.62,0.24,1
2,None,lda,48,0.62,0.62,0.24,1
1,ORICA (0),gaussian_nb,48,0.54,0.54,0.07999999999999996,1
2,ORICA (0),gaussian_nb,48,0.54,0.54,0.07999999999999996,1
1,ORICA (0),lda,48,0.54,0.54,0.07999999999999996,1
2,ORICA (0),lda,48,0.54,0.54,0.07999999999999996,1
1,ORICA (1),gaussian_nb,48,0.46,0.45999999999999996,-0.08000000000000007,1
2,ORICA (1),gaussian_nb,48,0.46,0.45999999999999996,-0.08000000000000007,1
1,ORICA (1),lda,48,0.54,0.54,0.07999999999999996,1
2,ORICA (1),lda,48,0.54,0.54,0.07999999999999996,1
1,SOBI,gaussian_nb,48,0.51,0.51,0.020000000000000018,1
