run,algorithm,classifier,uid,Acc.,Bal. Acc.,Kappa,duplicated
0,ORICA (0),lda,6,0.5763888888888888,0.5763888888888888,0.1527777777777778,0
0,ORICA (1),lda,6,0.5486111111111112,0.5486111111111112,0.09722222222222221,0
0,Ext. Infomax,lda,6,0.5763888888888888,0.576388888888889,0.1527777777777778,0
1,Ext. Infomax,lda,6,0.5763888888888888,0.5763888888888888,0.1527777777777778,0
2,Ext. Infomax,lda,6,0.5902777777777778,0.5902777777777778,0.18055555555555558,0
0,SOBI,lda,6,0.5833333333333334,0.5833333333333333,0.16666666666666663,0
0,FastICA,lda,6,0.5416666666666666,0.5416666666666666,0.08333333333333337,0
1,FastICA,lda,6,0.5138888888888888,0.5138888888888888,0.02777777777777779,0
2,FastICA,lda,6,0.5208333333333334,0.5208333333333334,0.04166666666666663,0
0,picard_o,lda,6,0.5486111111111112,0.5486111111111112,0.09722222222222221,0
1,picard_o,lda,6,0.5972222222222222,0.5972222222222222,0.19444444444444442,0
2,picard_o,lda,6,0.5069444444444444,0.5069444444444444,0.01388888888888884,0
1,None,lda,6,0.5694444444444444,0.5694444444444444,0.13888888888888884,1
2,None,lda,6,0.5694444444444444,0.5694444444444444,0.13888888888888884,1
1,ORICA (0),lda,6,0.5763888888888888,0.5763888888888888,0.1527777777777778,1
2,ORICA (0),lda,6,0.5763888888888888,0.5763888888888888,0.1527777777777778,1
1,ORICA (1),lda,6,0.5486111111111112,0.5486111111111112,0.09722222222222221,1
2,ORICA (1),lda,6,0.5486111111111112,0.5486111111111112,0.09722222222222221,1
1,SOBI,lda,6,0.5833333333333334,0.5833333333333333,0.16666666666666663,1
2,SOBI,lda,6,0.5833333333333334,0.5833333333333333,0.16666666666666663,1
0,None,lda,7,0.6041666666666666,0.6041666666666667,0.20833333333333337,0
0,ORICA (0),lda,7,0.5555555555555556,0.5555555555555556,0.11111111111111116,0
0,ORICA (1),lda,7,0.5347222222222222,0.5347222222222222,0.06944444444444442,0
0,Ext. Infomax,lda,7,0.7430555555555556,0.7430555555555556,0.48611111111111116,0
1,Ext. Infomax,lda,7,0.6319444444444444,0.6319444444444444,0.26388888888888884,0
2,Ext. Infomax,lda,7,0.8611111111111112,0.8611111111111112,0.7222222222222222,0
0,SOBI,lda,7,0.5763888888888888,0.5763888888888888,0.1527777777777778,0
